# ARM64 retained root matrix

goos: darwin
goarch: arm64
pkg: github.com/islishude/secp256k1
cpu: Apple M3 Max
BenchmarkVerifyHotPublicKey-16             	   59678	     20128 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59691	     20124 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59679	     20053 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59655	     20124 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59648	     20100 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59725	     20116 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59727	     20087 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59685	     20121 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59690	     20118 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyHotPublicKey-16             	   59662	     20122 ns/op	       0 B/op	       0 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20108	     59629 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20050	     59673 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20112	     59564 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20125	     59560 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20116	     59452 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20566	     58338 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20643	     58194 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20602	     58231 ns/op	    9472 B/op	       1 allocs/op
BenchmarkVerifyParseCompressedCold-16      	   20638	     59248 ns/op	    9472 B/op	       1 allocs/op
